,Year,Coal (% electricity),Gas (% electricity),Hydro (% electricity),Solar (% electricity),Wind (% electricity),Oil (% electricity),Nuclear (% electricity),Other renewables (% electricity),Fossil fuels (% electricity),Low-carbon electricity (% electricity),Nuclear (% electricity).1,Renewables (% electricity)
43,2008,68.11697973381821,10.092516549986174,15.852890292207146,0.0086841654622441,1.8885992221937609,0.6234927545319593,2.0994631655677085,1.317374116232813,78.83298903833632,21.167010961663667,2.0994631655677085,19.06754779609596
44,2009,68.41077146139476,11.476073505972709,13.59934211511267,0.0096051685335037,2.280138940940009,0.5403995885862987,2.1536299065298,1.5300393129302563,80.42724455595376,19.57275544404624,2.1536299065298,17.419125537516436
45,2010,66.8012113989341,12.319548433567288,13.516313117470034,0.0137131625317274,2.3858475696793096,0.3815790626560706,2.801139168187716,1.7806480869737795,79.50233889515744,20.497661104842567,2.801139168187716,17.696521936654857
46,2011,66.21206316276944,10.68694614501262,14.563908928577437,0.0914996453309999,2.714010036238728,0.2156315825530821,3.565238870943501,1.950701628574196,77.11464089033514,22.88535910966485,3.565238870943501,19.32012023872136
47,2012,70.76301018559829,7.870847869321097,12.10769504617222,0.2397357730716029,3.153205888609904,0.2466106412889008,3.4693336228029383,2.149560973135032,78.88046869620831,21.119531303791696,3.4693336228029383,17.650197680988754
48,2013,72.74424168106812,4.596264330238959,13.098349638782578,0.412010106548202,3.3010568198560053,0.1939572408347953,3.330442893349134,2.323677289322214,77.53446325214188,22.46553674785813,3.330442893349134,19.135093854509
49,2014,74.72051050823336,3.915231835055189,11.815709536258083,0.5303681168145841,3.385289825958389,0.16677493429147,3.150174466631903,2.3159407767570173,78.80251727758005,21.197482722419977,3.150174466631903,18.047308255788074
50,2015,76.51380633506444,3.5553401881082736,11.606337284640537,0.5762251216191567,2.8731821296481512,0.03357111262623,3.348084024135292,1.4934538041578915,80.10271763579897,19.89728236420103,3.348084024135292,16.549198340065736
51,2016,76.48170425411226,4.101837949949563,10.50632133674238,0.9440463242369332,3.5496915240866844,0.0257587784829763,3.094763819196217,1.2958760131929845,80.60930098254481,19.3906990174552,3.094763819196217,16.29593519825898
52,2017,75.67156656512117,3.9087283110803313,10.567042115370716,1.6756574890567395,4.0933124454219465,0.0193344077816608,2.9895961224288703,1.0747625437385655,79.59962928398315,20.40037071601684,2.9895961224288703,17.41077459358797
53,2018,74.9146473828882,3.674235405834193,10.332487439681168,2.6560990493916967,4.409253560701687,0.0155896392853997,2.7868929354691283,1.21079458674852,78.60447242800778,21.3955275719922,2.7868929354691283,18.60863463652307
54,2019,72.45370277319196,3.48144488018838,11.735878785843596,3.3575418332052243,4.593649595884943,0.0078328261430262,3.2770084806541964,1.0929408248886712,75.94298047952336,24.057019520476626,3.2770084806541964,20.780011039822444
